id,address,latitude,longitude
1,"Гродненская улица, дом 4",56.306103,43.902161
2,"Гродненская улица, дом 5",56.306274,43.902386
3,"Гродненская улица, дом 6",56.306370,43.902607
4,"Детская улица, дом 48",56.270889,43.891468
5,"Детская улица, дом 50",56.271168,43.891090
6,"Детская улица, дом 52",56.271450,43.890678
7,"Болотная улица, дом 2",56.346386,43.835972
8,"Болотная улица, дом 4",56.346607,43.835335
9,"Болотная улица, дом 12",56.347759,43.832558
10,"Болотная улица, дом 15",56.347317,43.832703
11,"улица Гаршина, дом 3Б",56.321011,43.974598
12,"улица Гаршина, дом 4",56.321011,43.974220
13,"улица Гаршина, дом 40",56.317547,43.971977
14,"улица Гаршина, дом 42",56.317074,43.972534
15,"Азовская улица, дом 14",56.249619,43.965130
16,"Азовская улица, дом 15",56.248890,43.965446
17,"Азовская улица, дом 16",56.249149,43.965580
18,"Азовская улица, дом 16А",56.249451,43.964474
19,"Азовская улица, дом 17",56.249538,43.965652
20,"Азовская улица, дом 18",56.249844,43.965923
21,"Высоковский переулок, дом 1",56.311726,44.032146
22,"Высоковский переулок, дом 2",56.311737,44.032890
23,"Высоковский переулок, дом 3",56.312031,44.031876
24,"Высоковский переулок, дом 4",56.312065,44.032513
25,"Высоковский переулок, дом 6",56.312344,44.032261
26,"Высоковский переулок, дом 6А",56.312504,44.032711
27,"улица Войкова, дом 2",56.313988,43.927456
28,"улица Войкова, дом 4",56.313740,43.927608
29,"улица Войкова, дом 5",56.313248,43.927032
30,"улица Войкова, дом 7",56.313004,43.927078
31,"улица Войкова, дом 9",56.312698,43.927097
32,"улица Войкова, дом 16",56.312065,43.927654
33,"улица Войкова, дом 18",56.311790,43.927761
34,"улица Гребешковский Откос, дом 1",56.318359,43.981407
35,"улица Гребешковский Откос, дом 3",56.318764,43.980942
36,"улица Гребешковский Откос, дом 3А",56.318424,43.980881
37,"улица Гребешковский Откос, дом 5",56.318813,43.980339
38,"улица Гребешковский Откос, дом 7",56.319260,43.980446
39,"улица Гребешковский Откос, дом 7А",56.319347,43.979874
40,"улица Гребешковский Откос, дом 9А",56.319733,43.979954
41,"улица Гребешковский Откос, дом 11",56.320057,43.979603
42,"Вторая Камышовая улица, дом 4",56.217533,43.965401
43,"Вторая Камышовая улица, дом 9",56.216019,43.964252
44,"Вторая Камышовая улица, дом 10Б",56.215576,43.964798
45,"Вторая Камышовая улица, дом 12",56.215954,43.964924
46,"Вторая Камышовая улица, дом 12А",56.215340,43.965534
47,"Вторая Камышовая улица, дом 12Б",56.215027,43.965248
48,"Вторая Камышовая улица, дом 12В",56.215137,43.964958
49,"Вторая Камышовая улица, дом 14А",56.215538,43.965752
50,"улица Героя Кошелева, дом 1",56.315601,43.890068
51,"улица Героя Кошелева, дом 2",56.315052,43.888882
52,"улица Героя Кошелева, дом 3",56.315445,43.889484
53,"улица Героя Кошелева, дом 4",56.314987,43.887131
54,"улица Героя Кошелева, дом 5",56.315842,43.889252
55,"улица Героя Кошелева, дом 7",56.315830,43.888649
56,"улица Героя Кошелева, дом 9",56.315426,43.888515
